Address,City,Province,Postal Code,City Assessment 2024,Sold Price,Sold Date,Last Estimated Price,Last Estimated Date,URL
90 KIRBY PLACE SW,Calgary,Alberta,T2V2K6,596000,410000,2014-04-28T00:00:00.000Z,705000,2024-04-10T00:00:00.000Z,https://honestdoor.com/property/90-kirby-place-sw-calgary-ab
8003 7 STREET SW,Calgary,Alberta,T2V1G5,723500,187000,1999-07-15T00:00:00.000Z,816700,2024-04-10T00:00:00.000Z,https://honestdoor.com/property/8003-7-street-sw-calgary-ab
7711 7 STREET SW,Calgary,Alberta,T2V1G4,630500,525000,2021-02-22T00:00:00.000Z,567500,2024-04-10T00:00:00.000Z,https://honestdoor.com/property/7711-7-street-sw-calgary-ab
7815 7 STREET SW,Calgary,Alberta,T2V1G5,693500,152000,1995-10-17T00:00:00.000Z,770900,2024-04-10T00:00:00.000Z,https://honestdoor.com/property/7815-7-street-sw-calgary-ab
33 KENTISH DRIVE SW,Calgary,Alberta,T2V2L4,955500,722500,2021-09-21T00:00:00.000Z,1109100,2024-04-10T00:00:00.000Z,https://honestdoor.com/property/33-kentish-drive-sw-calgary-ab
35 HARCOURT ROAD SW,Calgary,Alberta,T2V3E2,654500,465000,2008-08-20T00:00:00.000Z,780400,2024-04-10T00:00:00.000Z,https://honestdoor.com/property/35-harcourt-road-sw-calgary-ab
35 HOLDEN ROAD SW,Calgary,Alberta,T2V3E7,716500,276000,2004-09-01T00:00:00.000Z,809300,2024-04-10T00:00:00.000Z,https://honestdoor.com/property/35-holden-road-sw-calgary-ab
8 HAULTAIN PLACE SW,Calgary,Alberta,T2V3A6,544500,370000,2014-04-24T00:00:00.000Z,675000,2024-04-10T00:00:00.000Z,https://honestdoor.com/property/8-haultain-place-sw-calgary-ab
35 KENTISH DRIVE SW,Calgary,Alberta,T2V2L4,848000,722000,2020-10-20T00:00:00.000Z,946800,2024-04-10T00:00:00.000Z,https://honestdoor.com/property/35-kentish-drive-sw-calgary-ab
48 KENTISH DRIVE SW,Calgary,Alberta,T2V2L3,608500,279500,2005-09-06T00:00:00.000Z,708800,2024-04-10T00:00:00.000Z,https://honestdoor.com/property/48-kentish-drive-sw-calgary-ab
65 KENTISH DRIVE SW,Calgary,Alberta,T2V2L4,651000,363000,2012-03-26T00:00:00.000Z,753800,2024-04-10T00:00:00.000Z,https://honestdoor.com/property/65-kentish-drive-sw-calgary-ab
56 KENDALL PLACE SW,Calgary,Alberta,T2V2J7,654500,501100,2020-10-12T00:00:00.000Z,726800,2024-04-10T00:00:00.000Z,https://honestdoor.com/property/56-kendall-place-sw-calgary-ab
828 ARCHWOOD ROAD SE,Calgary,Alberta,T2J1C4,488000,167000,2000-07-26T00:00:00.000Z,569600,2024-04-10T00:00:00.000Z,https://honestdoor.com/property/828-archwood-road-se-calgary-ab
7507 7 STREET SW,Calgary,Alberta,T2V1G1,668000,,1989-08-03T00:00:00.000Z,773300,2024-04-10T00:00:00.000Z,https://honestdoor.com/property/7507-7-street-sw-calgary-ab
856 ARCHWOOD ROAD SE,Calgary,Alberta,T2J1C4,446500,240000,2006-02-01T00:00:00.000Z,528000,2024-04-10T00:00:00.000Z,https://honestdoor.com/property/856-archwood-road-se-calgary-ab
9840 ADRIAN PLACE SE,Calgary,Alberta,T2J1C8,529500,175000,1999-11-24T00:00:00.000Z,619900,2024-04-10T00:00:00.000Z,https://honestdoor.com/property/9840-adrian-place-se-calgary-ab
9820 ADRIAN PLACE SE,Calgary,Alberta,T2J1C8,524500,,2000-09-12T00:00:00.000Z,619300,2024-04-10T00:00:00.000Z,https://honestdoor.com/property/9820-adrian-place-se-calgary-ab
316 AVONBURN ROAD SE,Calgary,Alberta,T2H1N8,545500,482000,2014-05-30T00:00:00.000Z,671200,2024-04-10T00:00:00.000Z,https://honestdoor.com/property/316-avonburn-road-se-calgary-ab
321 96 Ave,Dawson Creek,British Columbia,V1G1K3,306600,,,325000,2024-04-10T00:00:00.000Z,https://honestdoor.com/property/321-96-ave-dawson-creek-bc
320 ALCOTT CRESCENT SE,Calgary,Alberta,T2J0V4,561500,133000,1994-04-28T00:00:00.000Z,679800,2024-04-10T00:00:00.000Z,https://honestdoor.com/property/320-alcott-crescent-se-calgary-ab
